title,author,my_rating,date_started,date_completed,pages,published,original_lang,main_char_gender,type,gr_avg_rating,gr_raters,date_started_txt,date_completed_txt,year_start,year_end,format,origins,publisher,weight,dimensions,width,isbn,spine
Revolt in 2100,Robert A. Heinlein,1,20190427,20190428,336,1953,English,Male,Fiction,3.84,4995,"Apr 27, 2019","Apr 28, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Book delivery service,Pan Books Ltd.,,177 x 110 x 15 mm,15,9780999784211,Black
The Big Sleep,Raymond Chandler,5,20190422,20190428,251,1939,English,Male,Fiction,4,118463,"Apr 22, 2019","Apr 28, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Lent from home,Penguin Books Ltd,148,195 x 131 x 19 mm,19,9780241956281,Yellow
The Cemetery of Swallows,Jean-Denis Bruet-Ferreol,3,20190501,20190503,272,2012,French,Male,Fiction,3.99,67,"May 1, 2019","May 3, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Bought in store,Europa Editions,482,210 x 135 x 30 mm,30,9781609451868,Black
The Pusher,Ed McBain,3,20190503,20190504,192,1956,English,Male,Fiction,3.91,2032,"May 3, 2019","May 4, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Lent from home,Penguin Books Ltd,,180 x 110 x 12 mm,12,9781477805749,Green
Murmur,Will Eaves,3,20190505,20190507,177,2018,English,Male,Fiction,3.45,596,"May 5, 2019","May 7, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Bought in store,Canongate Books Ltd,145,198 x 129 x 11 mm,11,9781786899378,Green
Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haurki Murakami,3,20190507,20190508,386,2013,Japanese,Male,Fiction,3.85,127118,"May 7, 2019","May 8, 2019","Jan 01, 2019","Dec 31, 2019",Hard Cover,Christmas gift from home,Vintage Publishing,592,240 x 162 x 30 mm,30,9781846558337,White
"Killers of the Flower Moon: Oil, Money, Murder and the Birth of the FBI",David Grann,4,20190508,20190508,352,2017,English,None,Fictionalised Non-Fiction,4.09,114552,"May 8, 2019","May 8, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Amazon order,Simon & Schuster Ltd,,197 x 130 x 25 mm,25,9780857209030,Black
What the Dog Saw: And Other Adventures,Malcolm Gladwell,5,20190510,20190521,410,2009,English,None,Non-Fiction,3.85,87069,"May 10, 2019","May 21, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Bought in store,Penguin Books Ltd,315,198 x 129 x 24 mm,24,9780141044804,Orange
Outliers: The Story of Success,Malcolm Gladwell,5,20190528,20190602,309,2008,English,None,Non-Fiction,4.16,525747,"May 28, 2019","Jun 2, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Lent from friend,Penguin Books Ltd,236,198 x 129 x 18 mm,18,9780141036250,Orange
Tipping the Velvet,Sarah Waters,4,20190429,20190611,472,1998,English,Female,Fiction,4.02,56602,"Apr 29, 2019","Jun 11, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Amazon order,"Little, Brown Book Group",376,197 x 135 x 32 mm,32,9781860495243,Pink
Mantissa,John Fowles,2,20190615,20190618,192,1982,English,Male,Fiction,3.2,2111,"Jun 15, 2019","Jun 18, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Lent from library,Vintage Publishing,149,198 x 129 x 13 mm,13,9780099530282,Red
HHhH,Laurent Binet,5,20190612,20190619,442,2010,French,None,Fictionalised Non-Fiction,4.1,17309,"Jun 12, 2019","Jun 19, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Bought in store,Vintage Publishing,234,198 x 129 x 21 mm,21,9780099555643,White
Eeeee Eee Eeee,Tao Lin,1,20190620,20190623,211,2007,English,Male,Fiction,3.34,3349,"Jun 20, 2019","Jun 23, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Lent from home,Melville House Publishing,221,185 x 132 x 14 mm,14,9781933633251,Pink
Berlin Alexanderplatz,Alfred Döblin,4,20190604,20190625,495,1929,German,Male,Fiction,3.85,6850,"Jun 4, 2019","Jun 25, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Bought in store,Penguin Books Ltd,348,198 x 129 x 27 mm,27,9780141191621,Teal
Animalia,Jean-Baptiste Del Amo,4,20190625,20190707,432,2017,French,Female,Fiction,4.08,389,"Jun 25, 2019","Jul 7, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Bought in store,Fitzcarraldo Editions,,195 x 127 x ?? mm,,9781910695579,Blue
Leonard and Hungry Paul,Ronan Hession,4,20190707,20190709,245,2019,English,Male,Fiction,4.22,1183,"Jul 7, 2019","Jul 9, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Bought in store,Bluemoose Books Ltd,,228 x 198 x ?? mm,,9781910422441,Yellow
The Grip of Film,Richard Ayoade,3,20190726,20190726,336,2017,English,Male,Fictionalised Non-Fiction,4.09,232051,"Jul 26, 2019","Jul 26, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Christmas gift from home,Faber & Faber,498,235 x 155 x 30 mm,30,9780571316557,Cream
Naked,David Sedaris,3,20190723,20190726,304,1997,English,None,Non-Fiction,3.42,746,"Jul 23, 2019","Jul 26, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Lent from friend,"Little, Brown Book Group",286,196 x 128 x 24 mm,24,9780349119779,White
Even the Dead Rise Up,Francis McKee,3,20190727,20190727,146,2018,English,Male,Fiction,3.1,10,"Jul 27, 2019","Jul 27, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Small publishing house order,Book Works,,115 x 175 x ?? mm,,9781906012595,Red
